id,syear,sex,alter,anz_pers,anz_kind,bildung,erwerb,branche,gesund_org,lebensz_org,einkommenj1,einkommenj2,einkommenm1,einkommenm2,high_education
17316.0,2018.0,[0] male,46.0,4.0,2.0,15.0,[-1] Employed full-time ,[87] Homes (excluding rest homes and vacation homes),[2] Well ,8.0,45108.81640625,0.0,3375.650634765625,0.0,1
17316.0,2019.0,[0] male,47.0,4.0,2.0,15.0,[-1] Employed full-time ,[85] Education and teaching,[2] Well ,7.0,40568.65625,0.0,3414.49267578125,0.0,1
2644.0,2015.0,[1] female,55.0,2.0,0.0,13.0,[5] Not employed,,[5] Badly ,5.0,0.0,0.0,0.0,0.0,1
2644.0,2016.0,[1] female,56.0,2.0,0.0,13.0,[5] Not employed,,[2] Well ,9.0,0.0,0.0,0.0,0.0,1
2644.0,2017.0,[1] female,57.0,2.0,0.0,13.0,[5] Not employed,,[2] Well ,9.0,0.0,0.0,0.0,0.0,1
2644.0,2018.0,[1] female,58.0,2.0,0.0,13.0,[5] Not employed,,[2] Well ,6.0,0.0,0.0,0.0,0.0,1
2644.0,2019.0,[1] female,59.0,2.0,0.0,13.0,[5] Not employed,,[2] Well ,9.0,0.0,0.0,0.0,0.0,1
5910.0,2015.0,[1] female,23.0,2.0,0.0,13.0,[4] Irregular employment or in marginal,[56] Gastronomy,[3] Satisfactory,7.0,0.0,0.0,640.62939453125,0.0,1
5910.0,2017.0,[1] female,25.0,2.0,0.0,13.0,[5] Not employed,,[3] Satisfactory,,0.0,0.0,0.0,0.0,1
5910.0,2019.0,[1] female,27.0,2.0,0.0,13.0,[4] Irregular employment or in marginal,[56] Gastronomy,[4] Not so well ,6.0,0.0,4535.74462890625,1.0,0.0,1
22045.0,2015.0,[0] male,71.0,1.0,0.0,18.0,[5] Not employed,,[4] Not so well ,6.0,0.0,0.0,0.0,0.0,1
22045.0,2016.0,[0] male,72.0,1.0,0.0,18.0,[5] Not employed,,[4] Not so well ,6.0,0.0,0.0,0.0,0.0,1
22045.0,2017.0,[0] male,73.0,1.0,0.0,18.0,[5] Not employed,,[4] Not so well ,7.0,0.0,0.0,0.0,0.0,1
19788.0,2015.0,[0] male,76.0,2.0,0.0,15.0,[5] Not employed,,[3] Satisfactory,7.0,0.0,0.0,0.0,0.0,1
19788.0,2016.0,[0] male,77.0,2.0,0.0,15.0,[5] Not employed,,[3] Satisfactory,7.0,0.0,0.0,0.0,0.0,1
19788.0,2017.0,[0] male,78.0,2.0,0.0,15.0,[5] Not employed,,[3] Satisfactory,7.0,0.0,0.0,0.0,0.0,1
6998.0,2015.0,[0] male,53.0,2.0,0.0,10.0,[5] Not employed,,[3] Satisfactory,6.0,0.0,0.0,0.0,0.0,0
6998.0,2016.0,[0] male,54.0,2.0,0.0,10.0,[5] Not employed,,[3] Satisfactory,5.0,0.0,0.0,0.0,0.0,0
6998.0,2017.0,[0] male,55.0,2.0,0.0,10.0,[5] Not employed,,[3] Satisfactory,5.0,0.0,0.0,0.0,0.0,0
6998.0,2018.0,[0] male,56.0,2.0,0.0,10.0,[5] Not employed,,[3] Satisfactory,6.0,0.0,0.0,0.0,0.0,0
6998.0,2019.0,[0] male,57.0,2.0,0.0,10.0,[5] Not employed,,[3] Satisfactory,5.0,0.0,0.0,0.0,0.0,0
18109.0,2015.0,[0] male,70.0,2.0,0.0,16.0,[5] Not employed,,[3] Satisfactory,8.0,0.0,0.0,0.0,0.0,1
18109.0,2016.0,[0] male,71.0,2.0,0.0,16.0,[5] Not employed,,[3] Satisfactory,6.0,0.0,0.0,0.0,0.0,1
18109.0,2017.0,[0] male,72.0,2.0,0.0,16.0,[5] Not employed,,[3] Satisfactory,8.0,0.0,0.0,0.0,0.0,1
9445.0,2015.0,[0] male,78.0,1.0,0.0,10.5,[5] Not employed,,[4] Not so well ,4.0,0.0,0.0,0.0,0.0,0
28255.0,2015.0,[0] male,55.0,1.0,0.0,11.5,[-2] Employed part-time,"[18] Manufacture of printed matter; reproduction of recorded sound, image and data carriers",[4] Not so well ,6.0,32883.76953125,0.0,2262.8203125,0.0,0
28255.0,2016.0,[0] male,56.0,1.0,0.0,11.5,[-2] Employed part-time,"[18] Manufacture of printed matter; reproduction of recorded sound, image and data carriers",[4] Not so well ,4.0,29416.6484375,0.0,2447.38916015625,0.0,0
28255.0,2017.0,[0] male,57.0,1.0,0.0,11.5,[-2] Employed part-time,[46] Wholesale trade (excl. trade in motor vehicles and motorcycles),[3] Satisfactory,5.0,26127.080078125,0.0,1942.1619873046875,0.0,0
28255.0,2018.0,[0] male,58.0,1.0,0.0,11.5,[-2] Employed part-time,[46] Wholesale trade (excl. trade in motor vehicles and motorcycles),[3] Satisfactory,6.0,24900.876953125,0.0,2087.408935546875,0.0,0
28255.0,2019.0,[0] male,59.0,1.0,0.0,11.5,[-2] Employed part-time,"[18] Manufacture of printed matter; reproduction of recorded sound, image and data carriers",[4] Not so well ,4.0,25596.65625,0.0,2032.612548828125,0.0,0
16297.0,2015.0,[1] female,51.0,2.0,1.0,12.0,[-2] Employed part-time,[86] Healthcare,[2] Well ,8.0,16387.169921875,0.0,1402.022705078125,0.0,0
16297.0,2016.0,[1] female,52.0,2.0,1.0,12.0,[-1] Employed full-time ,[86] Healthcare,[2] Well ,8.0,17220.6953125,0.0,1068.465576171875,0.0,0
16297.0,2017.0,[1] female,53.0,2.0,1.0,12.0,[-2] Employed part-time,[86] Healthcare,[2] Well ,8.0,15094.2998046875,0.0,1539.991943359375,0.0,0
18367.0,2016.0,[1] female,21.0,2.0,0.0,13.0,"[3] Training, apprenticeship",[64] Provision of financial services,[2] Well ,8.0,4540.1357421875,0.0,1208.427734375,0.0,1
18367.0,2017.0,[1] female,22.0,2.0,0.0,13.0,"[3] Training, apprenticeship",[64] Provision of financial services,[2] Well ,9.0,13299.431640625,0.0,1222.39990234375,0.0,1
18367.0,2018.0,[1] female,23.0,2.0,0.0,14.5,[-1] Employed full-time ,[64] Provision of financial services,[2] Well ,7.0,8571.818359375,0.0,1229.8765869140625,0.0,1
18367.0,2019.0,[1] female,24.0,2.0,0.0,14.5,[-1] Employed full-time ,[64] Provision of financial services,[2] Well ,8.0,28104.236328125,0.0,2729.805419921875,0.0,1
13999.0,2015.0,[1] female,38.0,4.0,2.0,10.5,[5] Not employed,,[2] Well ,9.0,0.0,0.0,0.0,0.0,0
13999.0,2016.0,[1] female,39.0,4.0,2.0,10.5,[5] Not employed,,[2] Well ,9.0,0.0,0.0,0.0,0.0,0
13999.0,2017.0,[1] female,40.0,4.0,2.0,10.5,[-2] Employed part-time,,[2] Well ,9.0,12114.2236328125,0.0,1344.28955078125,0.0,0
13999.0,2018.0,[1] female,41.0,4.0,2.0,10.5,[-2] Employed part-time,,[2] Well ,9.0,15673.345703125,0.0,1619.670166015625,0.0,0
13999.0,2019.0,[1] female,42.0,4.0,2.0,10.5,[-2] Employed part-time,,[3] Satisfactory,9.0,16131.599609375,0.0,1164.79248046875,0.0,0
10343.0,2015.0,[0] male,56.0,5.0,1.0,18.0,[-1] Employed full-time ,"[1] Agriculture, hunting and related activities",[3] Satisfactory,8.0,0.0,0.0,2717.85546875,0.0,1
10343.0,2016.0,[0] male,57.0,5.0,0.0,18.0,[-1] Employed full-time ,"[1] Agriculture, hunting and related activities",[3] Satisfactory,9.0,0.0,0.0,2623.0224609375,0.0,1
10343.0,2017.0,[0] male,58.0,5.0,0.0,18.0,[-1] Employed full-time ,"[1] Agriculture, hunting and related activities",[3] Satisfactory,8.0,0.0,0.0,2053.218994140625,0.0,1
10343.0,2018.0,[0] male,59.0,3.0,0.0,18.0,[-1] Employed full-time ,"[1] Agriculture, hunting and related activities",[2] Well ,9.0,0.0,0.0,3196.80712890625,0.0,1
10343.0,2019.0,[0] male,60.0,3.0,0.0,18.0,[-1] Employed full-time ,"[1] Agriculture, hunting and related activities",[2] Well ,8.0,0.0,0.0,3177.975830078125,0.0,1
4391.0,2015.0,[0] male,62.0,2.0,0.0,12.0,[-1] Employed full-time ,[86] Healthcare,[3] Satisfactory,5.0,40777.46484375,0.0,3278.424072265625,0.0,0
4391.0,2016.0,[0] male,63.0,2.0,0.0,12.0,[-1] Employed full-time ,[86] Healthcare,[2] Well ,6.0,45689.21484375,0.0,3216.22998046875,0.0,0
4391.0,2017.0,[0] male,64.0,2.0,0.0,12.0,[-1] Employed full-time ,[86] Healthcare,[3] Satisfactory,7.0,41778.33203125,0.0,3586.9814453125,0.0,0
4391.0,2018.0,[0] male,65.0,2.0,0.0,12.0,[-1] Employed full-time ,[86] Healthcare,[3] Satisfactory,5.0,43650.9375,0.0,3380.604248046875,0.0,0
4391.0,2019.0,[0] male,66.0,2.0,0.0,12.0,[5] Not employed,,[2] Well ,6.0,17791.421875,0.0,0.0,0.0,0
11570.0,2015.0,[0] male,74.0,2.0,0.0,10.5,[5] Not employed,,[4] Not so well ,6.0,0.0,0.0,0.0,0.0,0
16332.0,2015.0,[0] male,57.0,2.0,0.0,12.0,[-1] Employed full-time ,[84] Public administration and defense; compulsory social security,[2] Well ,8.0,42868.67578125,0.0,3429.8720703125,0.0,0
29418.0,2015.0,[1] female,55.0,2.0,0.0,11.5,[5] Not employed,,[5] Badly ,2.0,0.0,0.0,0.0,0.0,0
29418.0,2016.0,[1] female,56.0,3.0,0.0,11.5,[5] Not employed,,[5] Badly ,3.0,0.0,0.0,0.0,0.0,0
29418.0,2017.0,[1] female,57.0,3.0,0.0,11.5,[5] Not employed,,[5] Badly ,5.0,0.0,0.0,0.0,0.0,0
29418.0,2018.0,[1] female,58.0,3.0,0.0,11.5,[5] Not employed,,[5] Badly ,8.0,0.0,0.0,0.0,0.0,0
22245.0,2015.0,[0] male,46.0,4.0,2.0,11.0,[-1] Employed full-time ,[86] Healthcare,[3] Satisfactory,7.0,38567.54296875,0.0,3406.093017578125,0.0,0
22245.0,2016.0,[0] male,47.0,4.0,1.0,11.0,[-1] Employed full-time ,[86] Healthcare,[4] Not so well ,8.0,37413.26171875,0.0,2442.35791015625,0.0,0
22245.0,2017.0,[0] male,48.0,4.0,1.0,11.0,[-1] Employed full-time ,[86] Healthcare,[3] Satisfactory,7.0,37627.01953125,0.0,3529.81005859375,0.0,0
22245.0,2018.0,[0] male,49.0,4.0,1.0,11.0,[-1] Employed full-time ,[86] Healthcare,[3] Satisfactory,7.0,45906.828125,0.0,3283.89794921875,0.0,0
22245.0,2019.0,[0] male,50.0,4.0,1.0,11.0,[-1] Employed full-time ,[86] Healthcare,[4] Not so well ,8.0,45798.921875,0.0,3872.791748046875,0.0,0
27168.0,2015.0,[0] male,89.0,2.0,0.0,16.0,[5] Not employed,,[4] Not so well ,7.0,0.0,0.0,0.0,0.0,1
27168.0,2016.0,[0] male,90.0,2.0,0.0,16.0,[5] Not employed,,[3] Satisfactory,7.0,0.0,0.0,0.0,0.0,1
14975.0,2015.0,[0] male,58.0,3.0,0.0,11.5,[-1] Employed full-time ,[84] Public administration and defense; compulsory social security,[2] Well ,9.0,52476.2890625,0.0,4293.8525390625,0.0,0
14975.0,2016.0,[0] male,59.0,2.0,0.0,11.5,[-1] Employed full-time ,[84] Public administration and defense; compulsory social security,[2] Well ,9.0,48530.0,0.0,4813.0322265625,0.0,0
14975.0,2017.0,[0] male,60.0,2.0,0.0,11.5,[-1] Employed full-time ,[84] Public administration and defense; compulsory social security,[3] Satisfactory,7.0,54241.8046875,0.0,4940.33984375,0.0,0
14975.0,2018.0,[0] male,61.0,2.0,0.0,11.5,[-1] Employed full-time ,[84] Public administration and defense; compulsory social security,[3] Satisfactory,6.0,54819.62890625,0.0,5603.32666015625,0.0,0
14975.0,2019.0,[0] male,62.0,2.0,0.0,11.5,[-1] Employed full-time ,[84] Public administration and defense; compulsory social security,[3] Satisfactory,8.0,55300.5703125,0.0,4530.6435546875,0.0,0
26605.0,2015.0,[1] female,44.0,5.0,2.0,15.0,[5] Not employed,,[3] Satisfactory,7.0,0.0,0.0,0.0,0.0,1
11403.0,2015.0,[0] male,75.0,2.0,0.0,10.5,[5] Not employed,,[4] Not so well ,5.0,0.0,0.0,0.0,0.0,0
11403.0,2016.0,[0] male,76.0,2.0,0.0,10.5,[5] Not employed,,[5] Badly ,5.0,0.0,0.0,0.0,0.0,0
11403.0,2017.0,[0] male,77.0,2.0,0.0,10.5,[5] Not employed,,[5] Badly ,4.0,0.0,0.0,0.0,0.0,0
30062.0,2015.0,[0] male,47.0,1.0,0.0,9.0,[5] Not employed,,[5] Badly ,2.0,0.0,0.0,0.0,0.0,0
30062.0,2016.0,[0] male,48.0,1.0,0.0,9.0,[5] Not employed,,[5] Badly ,2.0,0.0,0.0,0.0,0.0,0
30062.0,2017.0,[0] male,49.0,1.0,0.0,9.0,[5] Not employed,,[5] Badly ,1.0,0.0,0.0,0.0,0.0,0
1820.0,2015.0,[0] male,66.0,2.0,0.0,13.5,[5] Not employed,,[2] Well ,8.0,0.0,0.0,0.0,0.0,1
1820.0,2016.0,[0] male,67.0,2.0,0.0,13.5,[5] Not employed,,[3] Satisfactory,7.0,0.0,0.0,0.0,0.0,1
1820.0,2017.0,[0] male,68.0,2.0,0.0,13.5,[-2] Employed part-time,[47] Retail trade (excluding motor vehicles and motorcycles),[2] Well ,8.0,0.0,0.0,503.6238708496094,0.0,1
1820.0,2018.0,[0] male,69.0,2.0,0.0,13.5,[-2] Employed part-time,[47] Retail trade (excluding motor vehicles and motorcycles),[3] Satisfactory,8.0,0.0,4547.2294921875,962.6925659179688,0.0,1
1820.0,2019.0,[0] male,70.0,2.0,0.0,13.5,[4] Irregular employment or in marginal,"[53] Postal, courier and express services",[3] Satisfactory,8.0,0.0,4575.3154296875,544.7601928710938,0.0,1
15657.0,2015.0,[0] male,43.0,1.0,0.0,14.5,[-1] Employed full-time ,[64] Provision of financial services,[3] Satisfactory,4.0,87173.0546875,0.0,6839.7724609375,0.0,1
15657.0,2016.0,[0] male,44.0,1.0,0.0,14.5,[-1] Employed full-time ,[64] Provision of financial services,[2] Well ,6.0,51607.73828125,0.0,7856.65283203125,0.0,1
15657.0,2017.0,[0] male,45.0,1.0,0.0,14.5,[-1] Employed full-time ,[64] Provision of financial services,[2] Well ,5.0,94902.7578125,0.0,8059.857421875,0.0,1
15657.0,2018.0,[0] male,46.0,1.0,0.0,14.5,[5] Not employed,,[2] Well ,5.0,93169.3125,0.0,0.0,0.0,1
15657.0,2019.0,[0] male,47.0,1.0,0.0,14.5,[-1] Employed full-time ,[64] Provision of financial services,[2] Well ,7.0,83278.546875,0.0,12189.0126953125,0.0,1
16673.0,2015.0,[0] male,66.0,1.0,0.0,11.5,[5] Not employed,,[4] Not so well ,8.0,0.0,0.0,0.0,0.0,0
16673.0,2016.0,[0] male,67.0,1.0,0.0,11.5,[5] Not employed,,[4] Not so well ,6.0,0.0,0.0,0.0,0.0,0
16673.0,2017.0,[0] male,68.0,1.0,0.0,11.5,[5] Not employed,,[4] Not so well ,8.0,0.0,0.0,0.0,0.0,0
16673.0,2018.0,[0] male,69.0,1.0,0.0,11.5,[5] Not employed,,[3] Satisfactory,8.0,0.0,0.0,0.0,0.0,0
16673.0,2019.0,[0] male,70.0,1.0,0.0,11.5,[5] Not employed,,[3] Satisfactory,7.0,0.0,0.0,0.0,0.0,0
12360.0,2015.0,[1] female,65.0,2.0,0.0,12.0,[5] Not employed,,[3] Satisfactory,7.0,0.0,0.0,0.0,0.0,0
12360.0,2016.0,[1] female,66.0,2.0,0.0,12.0,[5] Not employed,,[3] Satisfactory,7.0,0.0,0.0,0.0,0.0,0
12360.0,2017.0,[1] female,67.0,2.0,0.0,12.0,[5] Not employed,,[3] Satisfactory,5.0,0.0,0.0,0.0,0.0,0
12360.0,2018.0,[1] female,68.0,2.0,0.0,12.0,[5] Not employed,,[3] Satisfactory,7.0,0.0,0.0,0.0,0.0,0
12360.0,2019.0,[1] female,69.0,2.0,0.0,12.0,[5] Not employed,,[3] Satisfactory,7.0,0.0,0.0,0.0,0.0,0
3151.0,2015.0,[1] female,53.0,2.0,0.0,15.0,[-2] Employed part-time,[49] Land transport and transport in pipelines,[5] Badly ,7.0,45162.95703125,0.0,3354.088623046875,0.0,1
3151.0,2016.0,[1] female,54.0,2.0,0.0,15.0,[-2] Employed part-time,[49] Land transport and transport in pipelines,[4] Not so well ,7.0,44700.08203125,0.0,3873.66943359375,0.0,1
3151.0,2017.0,[1] female,55.0,2.0,0.0,15.0,[-2] Employed part-time,[49] Land transport and transport in pipelines,[4] Not so well ,6.0,47570.671875,0.0,3977.3876953125,0.0,1
3151.0,2018.0,[1] female,56.0,2.0,0.0,15.0,[-2] Employed part-time,[49] Land transport and transport in pipelines,[5] Badly ,4.0,46687.8203125,0.0,3877.55126953125,0.0,1
3151.0,2019.0,[1] female,57.0,2.0,0.0,15.0,[-2] Employed part-time,[49] Land transport and transport in pipelines,[4] Not so well ,7.0,46254.28515625,0.0,4386.74609375,0.0,1
4493.0,2015.0,[1] female,52.0,3.0,0.0,11.5,[-2] Employed part-time,[20] Manufacture of chemical products,[3] Satisfactory,9.0,42590.08203125,0.0,4133.958984375,0.0,0
4493.0,2016.0,[1] female,53.0,3.0,0.0,11.5,[-2] Employed part-time,[20] Manufacture of chemical products,[1] Very well ,9.0,46210.3359375,0.0,3772.53955078125,0.0,0
4493.0,2017.0,[1] female,54.0,3.0,0.0,11.5,[-1] Employed full-time ,[20] Manufacture of chemical products,[2] Well ,9.0,45583.76953125,0.0,5011.19873046875,0.0,0
4493.0,2018.0,[1] female,55.0,3.0,0.0,11.5,[-1] Employed full-time ,[20] Manufacture of chemical products,[3] Satisfactory,9.0,54205.25,0.0,5008.1240234375,0.0,0
4493.0,2019.0,[1] female,56.0,3.0,0.0,11.5,[-1] Employed full-time ,[20] Manufacture of chemical products,[2] Well ,8.0,59557.26171875,0.0,5308.837890625,0.0,0
6075.0,2015.0,[1] female,57.0,1.0,0.0,11.5,[-2] Employed part-time,[60] Broadcaster,[4] Not so well ,4.0,26602.4609375,0.0,2152.43701171875,0.0,0
6075.0,2016.0,[1] female,58.0,1.0,0.0,11.5,[4] Irregular employment or in marginal,[45] Trade in motor vehicles,[3] Satisfactory,4.0,15706.9580078125,0.0,509.4657897949219,0.0,0
6075.0,2017.0,[1] female,59.0,1.0,0.0,11.5,[-2] Employed part-time,"[65] Insurance, reinsurance and pension funds (excluding social security)",[3] Satisfactory,4.0,7129.0302734375,6062.45751953125,1343.594970703125,0.0,0
6075.0,2018.0,[1] female,60.0,1.0,0.0,11.5,[5] Not employed,,[2] Well ,8.0,14046.6826171875,0.0,0.0,0.0,0
6557.0,2015.0,[0] male,60.0,1.0,0.0,12.0,[5] Not employed,,[3] Satisfactory,8.0,0.0,0.0,0.0,0.0,0
6557.0,2016.0,[0] male,61.0,1.0,0.0,12.0,[5] Not employed,,[2] Well ,8.0,0.0,0.0,0.0,0.0,0
6557.0,2017.0,[0] male,62.0,1.0,0.0,12.0,[5] Not employed,,[3] Satisfactory,8.0,0.0,0.0,0.0,0.0,0
6557.0,2018.0,[0] male,63.0,1.0,0.0,12.0,[5] Not employed,,[3] Satisfactory,7.0,0.0,0.0,0.0,0.0,0
6557.0,2019.0,[0] male,64.0,1.0,0.0,12.0,[5] Not employed,,[4] Not so well ,6.0,0.0,0.0,0.0,0.0,0
15679.0,2015.0,[0] male,76.0,2.0,0.0,18.0,[5] Not employed,,[3] Satisfactory,7.0,0.0,0.0,0.0,0.0,1
15679.0,2016.0,[0] male,77.0,2.0,0.0,18.0,[5] Not employed,,[3] Satisfactory,7.0,0.0,0.0,0.0,0.0,1
15679.0,2017.0,[0] male,78.0,2.0,0.0,18.0,[5] Not employed,,[3] Satisfactory,7.0,0.0,0.0,0.0,0.0,1
15679.0,2018.0,[0] male,79.0,2.0,0.0,18.0,[5] Not employed,,[3] Satisfactory,6.0,0.0,0.0,0.0,0.0,1
15679.0,2019.0,[0] male,80.0,2.0,0.0,18.0,[5] Not employed,,[3] Satisfactory,7.0,0.0,0.0,0.0,0.0,1
28952.0,2015.0,[1] female,74.0,2.0,0.0,12.0,[5] Not employed,,[3] Satisfactory,7.0,0.0,0.0,0.0,0.0,0
28952.0,2016.0,[1] female,75.0,2.0,0.0,12.0,[5] Not employed,,[4] Not so well ,6.0,0.0,0.0,0.0,0.0,0
19982.0,2015.0,[0] male,69.0,1.0,0.0,11.0,[4] Irregular employment or in marginal,[35] Energy supply,[2] Well ,8.0,6496.82666015625,0.0,723.6790771484375,0.0,0
19982.0,2016.0,[0] male,70.0,1.0,0.0,11.0,[4] Irregular employment or in marginal,[35] Energy supply,[3] Satisfactory,8.0,0.0,7087.35595703125,563.920654296875,0.0,0
19982.0,2017.0,[0] male,71.0,1.0,0.0,11.0,[4] Irregular employment or in marginal,"[74] Other freelance, scientific and technical activities",[4] Not so well ,8.0,6954.34521484375,0.0,5692.46875,0.0,0
19982.0,2018.0,[0] male,72.0,1.0,0.0,11.0,[4] Irregular employment or in marginal,"[74] Other freelance, scientific and technical activities",[3] Satisfactory,7.0,5837.658203125,0.0,3607.295166015625,0.0,0
19982.0,2019.0,[0] male,73.0,1.0,0.0,11.0,[4] Irregular employment or in marginal,,[3] Satisfactory,7.0,41780.51953125,0.0,3300.536865234375,0.0,0
15337.0,2015.0,[1] female,65.0,1.0,0.0,16.0,[-1] Employed full-time ,[87] Homes (excluding rest homes and vacation homes),[4] Not so well ,7.0,12884.88671875,0.0,2618.182861328125,0.0,1
15337.0,2016.0,[1] female,66.0,2.0,0.0,16.0,[5] Not employed,,[3] Satisfactory,6.0,33032.69921875,0.0,0.0,58.56215286254883,1
15337.0,2017.0,[1] female,67.0,1.0,0.0,16.0,[4] Irregular employment or in marginal,[56] Gastronomy,[3] Satisfactory,7.0,3203.36328125,0.0,467.19696044921875,0.0,1
15337.0,2018.0,[1] female,68.0,1.0,0.0,16.0,[4] Irregular employment or in marginal,[47] Retail trade (excluding motor vehicles and motorcycles),[3] Satisfactory,7.0,0.0,1762.994873046875,2827.769775390625,0.0,1
15337.0,2019.0,[1] female,69.0,1.0,0.0,16.0,[4] Irregular employment or in marginal,[56] Gastronomy,[3] Satisfactory,8.0,4209.775390625,425.1392517089844,232.43885803222656,0.0,1
19332.0,2015.0,[0] male,65.0,2.0,0.0,11.5,[-1] Employed full-time ,[84] Public administration and defense; compulsory social security,[3] Satisfactory,8.0,45721.10546875,0.0,3493.609619140625,0.0,0
19332.0,2016.0,[0] male,66.0,2.0,0.0,11.5,[5] Not employed,,[3] Satisfactory,7.0,11020.7353515625,0.0,0.0,0.0,0
19332.0,2017.0,[0] male,67.0,2.0,0.0,11.5,[5] Not employed,,[3] Satisfactory,7.0,0.0,0.0,0.0,0.0,0
19332.0,2018.0,[0] male,68.0,2.0,0.0,11.5,[5] Not employed,,[3] Satisfactory,8.0,0.0,0.0,0.0,0.0,0
19332.0,2019.0,[0] male,69.0,2.0,0.0,11.5,[5] Not employed,,[3] Satisfactory,8.0,0.0,0.0,0.0,0.0,0
12043.0,2015.0,[1] female,72.0,1.0,0.0,12.0,[5] Not employed,,[3] Satisfactory,8.0,0.0,0.0,0.0,0.0,0
12043.0,2016.0,[1] female,73.0,1.0,0.0,12.0,[5] Not employed,,[3] Satisfactory,8.0,0.0,0.0,0.0,0.0,0
12043.0,2017.0,[1] female,74.0,1.0,0.0,12.0,[5] Not employed,,[3] Satisfactory,8.0,0.0,0.0,0.0,0.0,0
20013.0,2015.0,[0] male,49.0,3.0,1.0,10.5,[-1] Employed full-time ,[84] Public administration and defense; compulsory social security,[2] Well ,7.0,32215.673828125,0.0,2495.2978515625,0.0,0
18635.0,2015.0,[0] male,77.0,2.0,0.0,11.0,[5] Not employed,,[4] Not so well ,7.0,0.0,0.0,0.0,0.0,0
18635.0,2016.0,[0] male,78.0,2.0,0.0,11.0,[5] Not employed,,[4] Not so well ,7.0,0.0,0.0,0.0,0.0,0
18635.0,2017.0,[0] male,79.0,2.0,0.0,11.0,[5] Not employed,,[3] Satisfactory,8.0,0.0,0.0,0.0,0.0,0
18635.0,2018.0,[0] male,80.0,2.0,0.0,11.0,[5] Not employed,,[4] Not so well ,1.0,0.0,0.0,0.0,0.0,0
18635.0,2019.0,[0] male,81.0,2.0,0.0,11.0,[5] Not employed,,[4] Not so well ,6.0,0.0,0.0,0.0,0.0,0
26620.0,2015.0,[0] male,46.0,4.0,1.0,10.5,[-1] Employed full-time ,[20] Manufacture of chemical products,[2] Well ,8.0,33014.7109375,0.0,3769.261474609375,0.0,0
26620.0,2016.0,[0] male,47.0,4.0,1.0,10.5,[-1] Employed full-time ,[20] Manufacture of chemical products,[3] Satisfactory,[10] completely satisfied 10,42759.625,0.0,3669.85595703125,0.0,0
22696.0,2015.0,[1] female,65.0,2.0,0.0,9.0,[5] Not employed,,[5] Badly ,[0] completely dissatisfied 0,0.0,0.0,0.0,0.0,0
22696.0,2016.0,[1] female,66.0,2.0,0.0,9.0,[5] Not employed,,[5] Badly ,,0.0,0.0,0.0,0.0,0
